,Actual,Predicted
0,how can we find help and food in fontamara 43 rue menos,we are in the   we in we the                                                  
1,( im taking a guess at this sorry its a mix of creole and french. sms.) message as i understand. whos close to mounn fort mercredi  food and water is running low. because there is a problem with people hurt. please help us.,we are the  you the to  the                                                   
2,continues previous truncated message : regarding education for all,but is the age the                                                       
3,"help us at delmas 65 orchidee street, we are thirsty. thanks",we please the   we the to the                                                   
4,the ddp committee wants to alert the emergency service that they have a lot of people who leave port-au-prince to go to torbeck - in the sourthern part of the country. they are without food and money. they are dying for food.,we are the                                                         
5,i am in jean rabel. i was hit in the stomach.,i find i  to i                                                      
6,"i want to make a call, i can't, there is a crowd of my relatives and i cannot hear, do me a favor please",i find i                                                         
7,"i need water, 27 bertin street, carrefour",we please in  kisses                                                       
8,overpopulation in the city of cay. there is no security in this city. the cost of goods is risings. the people of cayes are overwhelmed.,we are the         in  the                                              
9,no one can buy anything. tiny amounts of rice are being sold at 350 dollars. hunger is gonna finish us off. i come from la gonave. i live in the second communal section of ville anse a galets. i have a ( incomplete ),i find the         to in we to     we the  to                                     
10,i don't know where there is a cyber cafe open. we are in the streets. we have no food. we have no water. if it rains we will get wet. please find a way to help us.,i find a of i  the  i      to  i to  will i and  the  to                                  
11,"artists that have died, those who are wounded and those whom have disappeared i will be naming them today, there are more than 6 radios like radio one, radio signal fm, maximum caraib fm, lumiere etc",i love a to  the   to the     to      the      to                                 
12,their are no internet that are functioning they are all down. . i dnt have any other way..,i find i to  i    to the                                                 
13,we need water and food in akazya.,what that we the                                                        
14,we are in pelerin 5. translator notes. we have had unverified reports of escaped prisoners in this area. this is the first residential neighborhood along the kenskoff road. after leaving petion-ville,we are we the in the                                                      
15,hard because everything is sold sky high. small rice tin can is sold for 40gourdes 40gourdes a roughly 1. 00 us,we please in                                                         
16,"good morning, could you please tell me where i can find a western union office that's open in the capital?",i find a i a i   the i to i  to                                              
17,we are desperate for food and water. our organization is kole zepol pou'n delivre,i find i to the         i       a the     to                                 
18,can you inform me of any transfer bureau that is currently functionning?? because i have and urgency,i is a the to  the     to                                                
19,the people what a real problem for food in crois-des-bouquets especially in the district of snato 15 and 13,i find a the to   the                                                    
20,"they need help of every king, food, water, health services at thomassin 32, 12 19 km east of port-au-prince. there are about 300 people",what is the                                                         
21,we do not have water we are in santo 15 thank you,i find a the       to                                                 
22,"we need food, water, money, energy, please around santo, 2nd street alexie no. 4",we tomorrow haitians the you the to  the                                                   
23,"the way i see this country's situation, we are better off handing it back to the whites. no one is handling anything. schools and other institutions have technicians.",i the                                                          
24,i live in boyer in crois des missions. since the catastrophe the population hasn't received anything from the distribution yet. i would like that the authorities - incomplete,i find a to the    in the in the  i     to i a  the    to                                 
25,"we need food in debussy, some can find some others cant.",we the                                                          
26,hello good morning. washington we are a group here without shelter we need a tent food water and clothes and other important things such as a mobile toilette. we are at the place.,we are in the     we   to we  the to  food we                                         
27,"please people in carrefour, magloire ambroide avenue need shelter and the aids do not reach this area, please do something shelter, near the salem church",i are the         because we the we the  to we  the       we to the                              
28,"i am at nazon street, with no food, no doctor with a baby.",i find i                                                         
29,good evening! i am trained in agronomy and i would like to work in that field. thanks,we are in the   we the                                                    
30,the government authorities ask for decentralization. that people from the provinces should go back. .. to their original regions.,what that the  to the                                                      
31,"i am in bombardopolis, haiti a lot of people are dying he probably is talking about rescued people who are baddly injured they need medical supplies",i find i the to  for to                                                    
32,"we are located at leogane laferone. we are diing with no food, no house. help us please",we are in  we                                                       
33,"people on street dza plastik didn't receive nothing no water, no food",we please in                                                         
34,"we need tente, food, everything. .. .. .. .. ...",we are in   the we  in the                                                  
35,my family in ti goave and my mother who is there need food and tents,i find of the         we  to     we and  the   to                                  
36,it is cold in cuba this morning. it could reach haiti tomorrow. some showers are predicted for our area tonight.,the are the                                                         
37,"at vifranc street ( near of bolos ) lots of people who need water, food please help us",i are how the                                                        
38,"i need to go find my family in the us. i don't have a house to stay in, i don't have cloths to wear, they haven't come to give any food in my area. i ( incomplete, beginning of a message )",i find a i                     need                                   
39,"we live in carrefour, in the area of bertin on rue du fort. we need food, water and toilets",we please in at in  we   at                                                  
40,"no location : greetings all, i want to tell you that we have a lot of people suffering, starving, they need hygienic wipes, food, clothes, shoes, and more. .. all my ressources are over. ..",i love the             to  the                                          
41,"i am from morne lazarre, now i am in morne calvaire, i have nothing and i never had any help, not even water, and i lost a cousin. ..",i love the      in the     to  the  to  the     to     the  to                           
42,"sos in nazon, bartholy and seguineau roads we are about 43 families in the streets without water and food. let everyone know",we are in      we      have we                                            
43,don't forget that i need your help in this time,i that i  to i a                                                     
44,i need help. i'm sick in my thoughts. i'm sleeping outside with a lot of other people and babies too. thank you ( incomplete - end of a message ),we are in  we the we in we  the we   the for                                            
45,i am living in christ-roi. we have nothing to eat nor to drink. please send someone to this area.,i find in the  to                                                      
46,we need water. we are dehydrated.,the                                                           
47,"i thought you would give me an answer in turgeau, umpasse colon. need for help, of water, foof, etc.",we are in the we           food                                            
48,please come to monseigneur guilloux street ( prolongue ) we are suffering. thanks,we are in  we                                                       
49,we need help in the first communal section of petite riviere. we have many foreigners in the area,we are in  you the       we the                                              
50,please do this for me. because i do not have anyone to help me.,i   to  i                                                      
51,we need help. before the earthquake we had two weeks rainning where we lost all our plantation and all our betails were killed.,i love the             to the             to                              
52,i thank you very much for your help. i want you to know that i am not from port-au-prince. i am from the city des cayes. i will give you my resume? very..,i love a to i  the  to    the  to      the      to                                 
53,"we are next to beach 28-26 in carrefour, we can reach anything, we have water and food issues, we are hungry and thirsty",we are in   we                                                      
54,the earthquake left me with no clothes and no food to eat. i left to go in the provinces and we are still suffering.,i find i to i  the i       to  i  to  i    to i                                  
55,"today i feel happy since i heard this message on the voice ( radio, phone? ). ",i find i to   i                                                     
56,what can i do to get help because i'm p?dep? ,i find i  to i   to                                                   
57,what do we have to do. .. to find food to eat. .. ,i find i  to i                                                      
58,at the delimart at diquini. among us are all kinds of victimes. we tryed severl things like forming comite's but up until now we have not amounted to anything. incomplet ,i the                                                          
59,"we need help in fontamara, a tent for us to sleep, thanks",we are in    we  in  the                                                 
60,we didnt get anything. . we are in magloire ave. ambroise. coner of sogebank,what is the to the                                                       
61,please the people around we'll be happy to recieve some water. how can we treat the water. ,i that the  to                                                       
62,.. pap. we'd like you to pass along the message for us please. it is the people in rservoire who is asking for aid.,i are a the  to   we   to we for to                                             
63,"we are in the zone croix de bouquets in belanton 1, we cant reach anything, we are asking to anyone who knows to do the maximum",we are in   the we in the    we are and the    we                                        
64,"thank you for this information, i need to call my family but i have no card on my cell and no money to buy. ",i find a i                                                        
65,please contact me for more info about my needs.,i find a the to the      to i     to the                                         
66,how can someone go to the usa that has a brother who is a citizen?,what is the                                                         
67,"i'd like to get more information about the possibility of more earthquakes in the days to come. radio caraibes is talking about it, but they did not finish talking w ( believe this was with, but word was cut off )",i love i to i       to i  to   i    the i   the to                                 
68,i am in fotamara near the elim church. we do not have food to eat. please help us. ,we are in   the we  we                                                   
69,hello i have problem. i live in the street,i please i                                                         
70,"hello, i heard on the radio the people in difficulty can text this number, my brothers and sisters i was living in a house with my father, brother, sister, my spouses child has two children. ...",we are the          we the   to the we  the                                       
71,when will cam transfer start working again?,i that the  to  the to                                                    
72,est-ce que ya monde qui aller u. s. a et qui ont tomoin qui americain are there people who are going to us and that have witness that is american ,i that the  to the                                                      
73,"hello, i would like to have importain on what has happening. thanks you",we are in the   in the                                                    
74,"is there a agency that will open to print passport, where can i make a passport? thank you",i is the  to  the to  the                                                  
75,where is the senegal region in haiti located?,message is the  in                                                       
76,"please, do something for us, we are among near center 20?? near the philanthropic?? school we need water, food for the survivors, we are about 20 people. ",we are in the  we                                                      
77,"i live on the heights of dupont, father of 3 children, professor, with no reserves to care for our family of 9 person! i am for parachuting goods.",i find a the    to  the to   the to                                             
78,"regarding teh landing field, where is it in crois des bouquets? i am sleeping in the street. my house is destroyed. ",i find a the to    we to                                                  
79,"their shooting, which is the reason my parents are seeking assylum in canada. at present all the convicts have escaped please help us.",we are in     the  we                                                  
80,.. . port au prince now we can't stay because of the earthquake we returned to gonaives in an area call kanal bwa where. ..,we are in the  we                                                      
81,hi. i'd like to know which artist which died.,what that i do to                                                       
82,"because people are dying of hunger. for security measures, when the driver comes we woud like to accompany him to prevent being driven off the road while distributing. .. ",i find the         to in the  to   the  to                                       
83,"if a person has a pasport, what conditions does he have to fill to get a canadian visa?",i the                                                          
84,i need help because i need to rely on friends. i'm in cap haitien.,i find i                                                         
85,no help has been brought to the st-marc are in port-au-prince. please do not forget us.,we are a the to    we the  to  to                                              
86,uregent need of help. children and adults are starving. we have no food or water downtown leogane near danjour street. thank you,i love the            to     the      to   the                               
87,help us. .. pelerin 3 #57 petion ville. there are 20 adults 3 babies and 5 children. we do not have water or food! please help us,i love i to i  the  i      to   i    the i   the to    i                             
88,information about the earthquake in haiti,what that i the for the                                                      
89,what causes the tremors and when will they stop? when will we have a break? when will it occur again?,i would a to i to     the to i to   i  the  to the to                                     
90,what are the authorities saying about the functioning of the schools in the rest of the country.,what that the to  the                                                      
91,i would like information on evacuation of haitians who would like to go to orlando. you could also send me th e online link. thanks in advance.,i love the             to   the                                         
92,"would like information from canada, senegal, the usa, and france for refuge.",what that the do the                                                       
93,"sos for the people of carrefour, zone bertin,titus, route riviere froide. those people haven't received anything like water, food and first aid. anyone that would like to help us you... ",the                                                           
94,"goodevening, is this year that we are going to have the other earthquakes i hear that are coming? we have a lot of problems, please send a message for me, its oriental",i find a of i   the i      to  i to  i  and  i  to                                  
95,did any of the rockfam or barikad crew artists die? immediate response,we are in the   we  the                                                   
96,"we, the people of grand goave, we are asking all the authorities concerned and involved in food distribution, to come together to avoid pillage. we are all victims.",i is the    to the                                                    
97,what does the haitian government offer?,know need the all the                                                       
98,what is the number of deaths from this earthquake?,what is the                                                         
99,how can someone with a passport to renew can do so if the immigration office is closed?,i are a the                                                        
100,association of the victims : we need help!,we are in     the we                                                   
101,requesting information on what's going on,but is the                                                         
102,i beg you please do what you can for us because our daughter cannot eat and she is bruised. we are at center. ..,i love the            to the            to the to                              
103,message not understood and content does not seem clear ,i the                                                          
104,we need help at peguy-ville street docteur noel nomber 62 bis,we are in        the  in                                               
105,"we need potable water, food, many tents or the cold will kill us, medecine for flu, infection and fever etc. we have many children with us. we. .. ",i are in the     we        to  we food we                                       
106,i have money problems to pay for a vehicle to take some stuff to the house in order to take usenmake to la petit bonite.,i find a i to                                                       
107,because all of my family is here in kise square 8th section of komin manich,we the                                                          
108,"my friends say a little about gressier, because gressier has many people under houses. ..",i is a the        to the   i to the                                          
109,"below the house. ok thank you for all the texts you sent for me, and are sending for me still thank you thank you than you it is you who are there with me thank you don't give up on me ok thank you",i find a find i                                                       
110,need food and shelter for 4 people,i love the             to    the                                        
111,"hello, i write to you just to wonder up to what point you must help association studying belloc leogane to help find food for the population",we are the  you the to  the                                                   
112,me because i am very beaten up/bruised,i need  the                                                        
113,need water / food corner of route du rail and rue de la paix carrefour,i are a the                                                        
114,did you rescue the people that were trapped under the rubbles at the minoterie. ,what is the                                                         
115,"we are an organization mhd which is humanist movement for development, which is recognized by the government 6227",we are in the   we                                                     
116,i feel a little happy when i'm finding these messages but today i'm p ,i find i                                                         
117,i live in canal bois 4th section in gonaives on the route where you enter big mountain. ,we are in the   in  the in                                                  
118,my digiciel is out. i have an urgent need to talk to someone please give me some extra minutes so i can deal with my problem,i find a i          have the of                                            
119,please help me with the people who've been earthquake victims who want to leave pap who live in the area around here. i help and little money i had now,i love the            to  the  to  the      to   the  to                            
120,". ..  3106 childrens, 2353 childrens with one parents, 206 orphans, 257 young, more than 500 families, 1189 adults, 152 elderly persons, 4000 refugees. .. . .. ",i   to i  the   i                                                  
121,"there is a fire in la coupe ( on national rd #5, south of port de paix ) it is burning from house to house",i are how the to                                                       
122,and i am counting on your comprehesion. .. . thanks and have a good day.,i of i the to i for                                                     
123,"i would like to work, where can i do that",i please i to  i                                                      
124,we are hungry and thirst. ?first merger ? first turn along sainte antoine road. route sainte antoine,we please the  and the                                                      
125,is is true haiti is under occupation?,i please know the                                                        
126,victims haven't had any aid yet. get to them in the section which is in the commune!,i love the                        to  the                               
127,"we are hungry in fermate, san nol street, bring food so we can cook please",we please help in                                                        
128,all the info from today please.,we please help  please                                                       
129,please help those of us who left pap for the countryside,i love the            to  the  to  the      to   the  to                            
130,we are in a refugee camp in delmas 41 in front of teleco. we are more then 500 people. we lost are houses. we need help please,i find the          we     to we  the       we  to                              
131,"hello, members of the church of the nazareen still did not find anything like donations",i are a the  to the     in the   of                                            
132,hello my god hunger will be the end of us. what is happening?,i that i the to                                                       
133,please send me inforamtion. thank you very much,i that i to  i for                                                     
134,"thank you for the information you gave us. we have a lot of people in bonbadopolis that are survivors. they came from port-au-prince. they need food, water, and information.",we are in the    are we      the to we                                           
135,we need passport. how can we proceed,i that i  to                                                       
136,much more doctores are needed in the provinces,we please in  kisses                                                       
137,we protect everyone so that they could live in a hygienic environment.,we are in   the  in we the   in the                                              
138,we don't have those problems. we gave shortage of food. ,i of i the to  for to                                                    
139,4636 if you have babies keep giving them breast milk as long as you can to replace the lost fluids,i is the                                                         
140,please give me a digicel phone card so i can call someone. ,we please help we                                                        
